Item,Quantity,Source,Price (HUF),Note
"Motor with gearbox, 60 RPM @ 12 V",1 pcs,https://www.hestore.hu/prod_10041794.html,1850,
18350 battery cell,1 pcs,https://www.hestore.hu/prod_10037282.html,2861,
TP4056 based battery charger module,1 pcs,https://www.hestore.hu/prod_10039706.html,296,
Battery holder,1 pcs,https://www.hestore.hu/prod_10037304.html,298,Gutted for the metal contact plates
Tact switch 3.5 x 6 x 4.3 mm,1 pcs,https://www.hestore.hu/prod_10022467.html,45,
BC547,1 pcs,n/a,0,any similar NPN
6.2 k,1 pcs,n/a,0,4.7 k - 10 k
330 k,1 pcs,n/a,0,200 k - 500 k
Neodimium magnet 18 x 5 mm,1 pcs,https://www.alza.hu/oportune-neodimium-magnes-lemez-10-darabos-csomagolas-d5326272.htm,389,
1.75 mm PLA,< 100 g,https://www.alza.hu/gembird-filament-pla-feher-d4481217.htm?o=1,1059,
,,,,
Sum,,,6798,
